,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44,split_45,split_46,split_47,split_48,split_49,mean,std,min,max
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.2487058609073034,0.023524949925589518,0.014438693853620403,0.01449924760143955,0.030019746233813014,0.09864184364643647,-0.02168041263831655,0.07104394393819331,0.02859357863917149,0.044860128053071366,0.02901397833757054,0.18468668057752197,0.014311079232172811,0.07547897448544222,-0.005154595058353529,0.07692436867933222,0.028514861636369026,0.032038462857774515,0.03459121091116886,0.021469035083060757,0.03193389782130979,0.07553995330779843,0.02196889457359989,0.03404360668362176,7.749729693271155e-05,0.012417897719179439,0.006533376659007547,0.08284335230690683,0.027782862515425603,0.03514977974161225,0.08608613472074052,,0.1088702215359274,0.013577456427885362,0.008444558010536002,0.06444373516723167,0.09093334395005283,0.09637600996477715,0.027186308954092884,-0.0015101661018027653,0.018558791002291346,0.03213059601493426,0.06188347931138253,-0.005733156606985646,0.02132724247566775,0.07349019770857755,0.19818159170055755,0.12840900442292516,0.0809512944600942,0.025613447020265488,0.05106189480952913,0.05303355718484477,-0.02168041263831655,0.2487058609073034
mfcc1_sma3_amean,0.08179871788879385,0.015069986544409195,0.021547140380312454,0.013636096676387882,0.024616964371562293,0.028772742260272564,-0.01391007660412565,0.10577189527968611,0.012822512020545662,0.040972929299720885,0.015001913716100462,0.03198749872493602,0.012600329818344273,0.10238462631749404,-0.001292009553609479,0.06488843801388847,0.032226731049742226,0.0341339789309025,0.037913061653754354,0.02487111678496891,0.11002922363637345,0.19494926347295924,0.017622204831117157,0.04662422915549351,9.467836351875281e-05,0.020218525499918164,0.004358172884180502,0.12000654086383757,0.024484109579498942,0.034042186370548205,0.0742730247283443,,0.07131102200465339,0.033562693010364276,0.004492194721645898,0.08333360247108157,0.05709434898908857,0.04905400535944684,0.01102389834462966,-0.0013571811521575657,0.014505588456258739,0.0034344403852247744,0.050662782645038054,-0.00625168628738946,0.0676324424588095,0.09411786644592304,0.12549162922088763,0.10711048051975655,0.037838657264827,0.02181641080111128,0.04402836629834849,0.04205355847341514,-0.01391007660412565,0.19494926347295924
equivalentSoundLevel_dBp,0.07215537650702561,0.027769442653757484,0.02815085536570755,0.011216860693582706,0.028778529719631345,0.08937418396019974,-0.016591946133807857,0.026462561557117476,0.026396641432289873,0.036065778270501586,0.03487387355940755,0.2726121275860963,0.006225417087408736,0.09626322073574171,-0.0019763446908902748,0.03022036245810593,0.04191193395301949,0.023852471930198224,0.03372256424030375,0.022911713889591023,0.0860213557081819,0.054039307019414375,0.03396750764520603,0.025287478370445038,3.2976389515665115e-05,0.031067263983444084,0.0022339458213495866,0.06154671737865408,0.01150244584284722,0.024309914352603965,0.05799744002254356,,0.07381707824898617,0.00988836611469634,0.009737190164990719,0.01503430106696301,0.040175270923569026,0.08190090548952703,0.008759798739206091,-0.0002476838231226561,0.004254113841172485,0.08792945505501423,0.019610617703247308,-0.006073727896918451,0.06765307960197162,0.06669807679137518,0.09593525143180959,0.09297494191106927,0.027523685247120434,0.02477483487455772,0.0407907659753965,0.04484410941530665,-0.016591946133807857,0.2726121275860963
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.22836473781881436,0.06471040658090982,0.01809162541698314,0.009125081745106765,0.06281498148004923,0.03169983832531496,-0.013806172784013637,0.03063431571031763,0.015509585343197744,0.026913717775897805,0.041710454794951855,0.03695351606011645,0.0039164365169347464,0.03826414401803985,-0.003739169284893462,0.058101842992645675,0.016344455552370015,0.03956000336941707,0.0077123453366854874,0.06805366874776426,0.05801349093572278,0.11725768736156326,0.008296936390250063,0.018534151031604516,8.604985349587935e-05,0.07016635177744814,0.004847711016319982,0.01713087873861391,0.028298279952321703,0.028873592841078946,0.041146129536268235,,0.03781051624693621,0.023724739958463338,0.010182080771606369,0.039994347565068145,0.045985526507061655,0.07591919740846428,0.01153602537849633,-0.0011855984824011507,0.013240532049132052,0.15320769799298625,0.03923129559250737,-0.002357901033174502,0.072560664620554,0.059921339858720425,0.02834860267701213,0.01620849667622818,0.05370866839049179,0.022103685638448247,0.03823932638301833,0.04113985511435814,-0.013806172784013637,0.22836473781881436
F1frequency_sma3nz_stddevNorm,0.07561399009393738,0.014548100447630498,0.0053455822347385175,0.006552194404893244,0.006383902269262357,0.07169824832350191,-0.0010991300265650746,0.03022797056595483,0.009587630673833366,0.02614397522012741,0.015272227853533193,0.11635766262969129,0.006367205006553583,0.026869537885442656,-0.0016769111154921045,0.018591673200175164,0.007420671262573801,0.015013144928043693,0.02024089067888293,0.008680530574140291,0.10760516800072986,0.1424589913191335,0.01312635251418232,0.0255199302578104,4.895390907898017e-05,0.01344611950790129,0.0033903330430154533,0.03940809123690619,0.008527823030034179,0.011783508290083393,0.022598416656239725,,0.05924135157768815,0.009580465671002963,0.004820094948995885,0.020439363809631718,0.04823551440476843,0.04436547752213792,0.006781331723567338,-0.00040191088990113434,0.00882674798804852,0.08287059664018849,0.0053547667559799145,-0.003967352111352618,0.026380799700822313,0.13000180226605793,0.052186019074382105,0.06833295867931381,0.0015903468965961416,0.031074708721983875,0.02983195649501808,0.03540122570680909,-0.003967352111352618,0.1424589913191335
slopeV0-500_sma3nz_stddevNorm,0.17268814348327743,0.02098919974252203,0.006480468993585307,0.009377530084740375,0.027584941003925206,0.074072743189543,-0.004505808388458898,0.024875029886919038,0.005023521747216793,0.005872232120685077,0.01996904583503052,0.009964006213285075,0.008249730272638443,0.00813797348393356,-0.0005218704736793446,0.024376055081069454,0.013739414568655364,0.011151091066601497,0.003420472195724153,0.01979302092079312,0.0700045910331062,0.16422942143870653,0.0050906335439217295,0.02016605220151194,8.543062324399352e-06,0.013202109048732062,0.0013177667517947768,0.007620499224100196,0.005846286417256871,0.042814272179387984,0.012275941393356743,,0.07966247765923737,0.009572429391264363,0.0156591021671736,0.00857335120289419,0.006823010745018084,0.0433560988164426,0.0055728831223235,-0.00022432915524528017,0.0046268076921353865,0.12226544236794915,0.03356513861483331,-0.0009783973151224429,0.07034657916711938,0.12143176835283637,0.007105701956994226,0.0592064424213045,0.04048280422615545,0.009335554034255388,0.0293815494446893,0.04073947115129769,-0.004505808388458898,0.17268814348327743
F0semitoneFrom27.5Hz_sma3nz_amean,0.0440684903386438,0.02983081512680711,0.0012299537316820788,0.0049294452297937285,0.002169072080887654,0.027910655159536692,-0.006051758300534855,0.03437897547740322,0.004731619923804513,0.026290171418262752,0.023654338732564954,0.004333687164033726,0.005864328315338432,0.039043965998769754,-0.000309749010695067,0.024453840709287748,0.004462601231507727,0.02379747042566508,0.0027052145602014283,0.03576840391563363,0.03465526209434324,0.005822219815540808,0.0004393477918874981,0.008361347609510883,1.2151195808675512e-05,0.013912711671537552,0.0026749989591687375,0.01607694685146013,0.010374483371283,0.0375824448045032,0.0162616400478391,,0.10285950747267866,0.004577677292972963,0.004901266083469361,0.014993228883641496,0.03484417030802703,0.05252775167418257,0.006878088776659703,-0.0004788378774185303,0.0009622376600104689,0.1200674915138852,0.017613143964431675,-0.0012790176168954233,0.11072666295483319,0.0,0.004600553813768659,0.03849735514743401,0.004075998623142186,0.016099440087909835,0.02065105745314714,0.027282570442460904,-0.006051758300534855,0.1200674915138852
logRelF0-H1-H2_sma3nz_stddevNorm,0.1987049357355143,0.013280772052130206,0.003588084067001792,0.004183832815399338,0.010961825656650909,0.020149446862065344,-0.003525592635147279,0.024839570451997275,0.002095171826249609,0.014907055784761583,0.012115945895580299,0.0071417456033508265,0.005753097555684045,0.020489338299457673,-7.923639315663181e-05,0.017637208889682898,0.021413695231342147,0.01601043656383101,0.004175245306406637,0.007234148675575224,0.04527805188014424,0.07248137705855302,0.0030502792279353355,0.012164315899144146,2.852191825537421e-05,0.008441835922363633,0.0011314438370242134,0.021413019156318058,0.0034660588889608543,0.01012368930653492,0.0294326648560991,,0.048920772627842724,0.003350955362591339,0.014988529600021823,0.003135758069920278,0.05774914136111734,0.025210237966071337,0.006046391172837784,-0.00019444373086258644,0.009664317264187277,0.001150778873912934,0.00798003713882798,-0.0013670451899940826,0.027815848963116504,0.0667537044491493,0.008206340980700427,0.008006572673201765,0.0023803421241995557,0.005545948646560176,0.018437391317328817,0.03108214672618586,-0.003525592635147279,0.1987049357355143
mfcc3V_sma3nz_stddevNorm,0.06261951369033432,0.0060854904298234406,0.0071338426836090735,0.002798581804008494,0.021193830460407688,0.030229345526609483,-0.0013698788038606477,0.04798199869370154,0.0018105005096898431,0.013204177307399161,0.02163649056161081,0.0,0.004664364694019252,0.01951402815663499,-0.0008545666569625194,0.01964583381836094,0.011939319237981054,0.022630332910701968,0.0029577622647056247,0.024935383584489917,0.027183082145065852,0.12409122548185907,0.0016656188558558515,0.00969791344023926,2.3562165677036684e-05,0.02529222581069338,0.0030546271419430457,0.010160790152694669,0.005567519707658746,0.012093971030485024,0.005048258569193914,,0.045584559874722236,0.005434505305571281,0.003908413157891965,0.0031422882810287836,0.016755273195457887,0.00595565962805309,0.011148001376433339,-0.0004479622248374744,0.002577854970745542,0.014415877862288668,0.006799944644548755,-0.0007959862737522695,0.028304951364849618,0.08157621997684132,0.010531001628579206,0.02909847688876787,0.03387396425038504,0.011841325841760956,0.017394683982121757,0.022724310829981057,-0.0013698788038606477,0.12409122548185907
hammarbergIndexV_sma3nz_stddevNorm,0.0364034508727212,0.00388043800008244,0.005219398422618891,0.002598098657525293,0.008873251686415432,0.01585570330442009,-0.0004721017140020033,0.039311597691937546,0.002105575208679453,0.01488085903062235,0.00863280137855086,0.0,0.0018316154785737065,0.02562447546503377,-0.0009538272888239916,0.007411784625771687,0.011226257963409361,0.025596656827076028,0.00701063820769825,0.01640442165043135,0.04109563961781714,0.03126728716795765,0.006447226620643333,0.0043980886930954635,1.6670919392062903e-05,0.013957291830586239,0.0008834657476707316,0.023963433556068794,0.015426030395868139,0.0020688763227318537,0.07346348147334125,,0.004315852412818361,0.005388187936016976,0.002891689761796087,0.01227800563653011,0.06668929903450119,0.03174456814689429,0.001650634858100031,-0.00021883245428991617,0.0011228092977199572,0.014937163146002977,0.01973000412832964,-0.00217737989691803,0.019250654654171646,0.00536551849771889,0.024384524913645712,0.06908364544294152,0.02602044805346987,0.002032890761101749,0.015284046370295217,0.017949142286729093,-0.00217737989691803,0.07346348147334125
alphaRatioV_sma3nz_amean,0.030328814552409787,0.006245031027339534,0.005530105234257265,0.0026451885648802716,0.015104412040333415,0.007799853484213336,-0.012390876202784621,0.02594837756441319,0.008832891942102856,0.01598796921007215,0.016297792778396717,0.010507249579055048,0.0027045819542760347,0.02371380467132972,-0.0003167211951486417,0.025613618039376004,0.009337152785625713,0.016088188534961155,0.004693833376106492,0.021977387935031508,0.021527115874973676,0.03885563659868808,0.001181581935412684,0.014078924532398262,2.2148649114446068e-05,0.013350093622955438,0.002495616633613452,0.00782379762812818,0.009247986662759127,0.006419673866697843,0.011640352297855552,,0.026638533964895027,0.002854378264364759,0.002631053737051417,0.00517442199928589,0.01534350100891349,0.06189712064978606,0.014254567903619534,-0.0005194855117534247,0.0049937989278918266,0.039437633813550046,0.0076057821289501875,-0.0024067794175194994,0.012066862368405656,0.07701006901963225,0.01098264796189247,0.03543767656194703,0.012380789986666134,0.004673332748216448,0.014158112046829367,0.01568213561025355,-0.012390876202784621,0.07701006901963225
slopeV500-1500_sma3nz_stddevNorm,0.0552144199294395,0.005508980628214056,0.004466019322055236,0.002144619830159493,0.003182004689969509,0.014381118906022056,-0.0011093330858889382,0.011527100470530474,0.0024267894713615183,0.008293842828849344,0.005898172097574351,0.0498874574289757,0.002051766984502767,0.00635273680629364,-0.00019714439336153321,0.011872652878744866,0.006919282772387059,0.008631792886847919,0.0031312363553779657,0.014917178165102855,0.012576088392808962,0.04025045137984884,0.004004676407269238,0.006858328420535902,8.298186563347198e-06,0.0034401782816000535,0.0009125539691883707,0.019427283271247025,0.004004418213795792,0.0018999709964680556,0.006459585169981578,,0.0054789946308970525,0.0035069902380225333,0.003049714672965917,0.0,0.008372636615871655,0.006567593626545855,0.0007898881757578834,-7.038852630299929e-05,0.002201147279189624,0.04913364164366209,0.0026238753897536364,-0.0006971045413813778,0.019582553641641208,0.005176849646806675,0.01211219640296041,0.006212114665826525,0.017935845358655122,0.00515145178662396,0.009438174048366546,0.012822653583525443,-0.0011093330858889382,0.0552144199294395
mfcc4V_sma3nz_amean,0.022570847918320328,0.0076287798755698515,0.005613459708765253,0.0013910639914565457,0.009991627220914609,0.012228815819066135,-0.0015327803892221064,0.017425003216306464,0.0037244988824880333,0.003226683398685161,0.022466973690283155,0.004522117929917377,0.001047591939075136,0.002114788275909701,-0.0008656602936615556,0.029456059914382566,0.009794269271748717,0.0031785266934971595,0.006023634232206857,0.0029244143038220385,0.010460612706042923,0.054145451610969786,0.0007713843106118985,0.004075370209929977,7.850740719832814e-06,0.006785208520262049,0.001353027749254258,0.006509405258449618,0.004868011201163848,0.004839754910345103,0.0061396677941441,,0.009922013415396076,0.0014969037024676296,0.000914881992460511,0.01031855010826544,0.006194152344906868,0.006337863232156112,0.0026252262914935624,-0.00014613492716760663,0.0034084169783691527,0.026136520612885364,0.010873660003671917,-0.0004995350433719092,0.02670444667846865,0.016448701872474387,0.004244838344711154,0.006660329862352654,0.0037070690452092685,0.003297611995714598,0.008194530145344667,0.009950066751941261,-0.0015327803892221064,0.054145451610969786
